   FEM        Exact
  0.94956429   0.94919521
  0.94882388   0.94845028
  0.94807439   0.94769622
  0.94731575   0.94693296
  0.94654786   0.94616042
  0.94577064   0.94537851
  0.94498402   0.94458715
  0.94418791   0.94378627
  0.94338222   0.94297576
  0.94256688   0.94215556
  0.94174180   0.94132558
  0.94090689   0.94048573
  0.94006208   0.93963593
  0.93920728   0.93877610
  0.93834240   0.93790615
  0.93746735   0.93702600
  0.93658207   0.93613556
  0.93568645   0.93523474
  0.93478042   0.93432347
  0.93386388   0.93340165
  0.93293676   0.93246921
  0.93199897   0.93152605
  0.93105042   0.93057208
  0.93009103   0.92960724
  0.92912070   0.92863141
  0.92813936   0.92764453
  0.92714692   0.92664651
  0.92614329   0.92563725
  0.92512838   0.92461667
  0.92410211   0.92358469
  0.92306440   0.92254122
  0.92201514   0.92148616
  0.92095427   0.92041945
  0.91988169   0.91934098
  0.91879731   0.91825067
  0.91770105   0.91714843
  0.91659281   0.91603418
  0.91547253   0.91490784
  0.91434010   0.91376930
  0.91319544   0.91261849
  0.91203846   0.91145532
  0.91086907   0.91027970
  0.90968720   0.90909155
  0.90849275   0.90789078
  0.90728563   0.90667730
  0.90606577   0.90545103
  0.90483306   0.90421187
  0.90358744   0.90295975
  0.90232880   0.90169457
  0.90105706   0.90041626
  0.89977215   0.89912472
  0.89847396   0.89781987
  0.89716242   0.89650162
  0.89583744   0.89516988
  0.89449894   0.89382458
  0.89314682   0.89246563
  0.89178101   0.89109294
  0.89040142   0.88970643
  0.88900796   0.88830601
  0.88760055   0.88689159
  0.88617911   0.88546310
  0.88474356   0.88402046
  0.88329380   0.88256357
  0.88182975   0.88109235
  0.88035134   0.87960673
  0.87885848   0.87810661
  0.87735109   0.87659192
  0.87582908   0.87506258
  0.87429238   0.87351849
  0.87274090   0.87195960
  0.87117456   0.87038580
  0.86959329   0.86879702
  0.86799699   0.86719319
  0.86638560   0.86557421
  0.86475903   0.86394002
  0.86311720   0.86229054
  0.86146003   0.86062568
  0.85978746   0.85894536
  0.85809939   0.85724952
  0.85639576   0.85553808
  0.85467648   0.85381095
  0.85294148   0.85206806
  0.85119069   0.85030935
  0.84942403   0.84853472
  0.84764142   0.84674412
  0.84584280   0.84493746
  0.84402809   0.84311467
  0.84219721   0.84127569
  0.84035010   0.83942043
  0.83848668   0.83754884
  0.83660689   0.83566083
  0.83471065   0.83375634
  0.83279789   0.83183530
  0.83086856   0.82989765
  0.82892256   0.82794330
  0.82695986   0.82597221
  0.82498036   0.82398430
  0.82298402   0.82197951
  0.82097076   0.81995776
  0.81894052   0.81791901
  0.81689324   0.81586318
  0.81482885   0.81379022
  0.81274730   0.81170006
  0.81064851   0.80959264
  0.80853245   0.80746791
  0.80639903   0.80532580
  0.80424821   0.80316626
  0.80207993   0.80098922
  0.79989413   0.79879464
  0.79769076   0.79658246
  0.79546976   0.79435263
  0.79323107   0.79210509
  0.79097466   0.78983978
  0.78870045   0.78755667
  0.78640841   0.78525569
  0.78409849   0.78293680
  0.78177062   0.78059995
  0.77942478   0.77824510
  0.77706091   0.77587219
  0.77467896   0.77348119
  0.77227889   0.77107205
  0.76986066   0.76864472
  0.76742422   0.76619917
  0.76496954   0.76373535
  0.76249658   0.76125322
  0.76000528   0.75875275
  0.75749563   0.75623390
  0.75496758   0.75369664
  0.75242109   0.75114092
  0.74985613   0.74856671
  0.74727267   0.74597399
  0.74467068   0.74336272
  0.74205012   0.74073287
  0.73941097   0.73808441
  0.73675319   0.73541731
  0.73407677   0.73273156
  0.73138167   0.73002711
  0.72866788   0.72730396
  0.72593536   0.72456208
  0.72318410   0.72180144
  0.72041408   0.71902202
  0.71762527   0.71622382
  0.71481767   0.71340681
  0.71199124   0.71057097
  0.70914599   0.70771629
  0.70628189   0.70484277
  0.70339893   0.70195038
  0.70049710   0.69903911
  0.69757640   0.69610897
  0.69463681   0.69315993
  0.69167833   0.69019200
  0.68870095   0.68720518
  0.68570467   0.68419945
  0.68268949   0.68117481
  0.67965541   0.67813127
  0.67660242   0.67506883
  0.67353053   0.67198750
  0.67043974   0.66888726
  0.66733006   0.66576814
  0.66420150   0.66263014
  0.66105406   0.65947326
  0.65788775   0.65629752
  0.65470258   0.65310293
  0.65149858   0.64988951
  0.64827574   0.64665727
  0.64503409   0.64340622
  0.64177365   0.64013639
  0.63849443   0.63684779
  0.63519646   0.63354044
  0.63187975   0.63021438
  0.62854433   0.62686962
  0.62519023   0.62350619
  0.62181748   0.62012411
  0.61842609   0.61672343
  0.61501611   0.61330416
  0.61158757   0.60986634
  0.60814049   0.60641001
  0.60467491   0.60293520
  0.60119088   0.59944195
  0.59768842   0.59593030
  0.59416759   0.59240029
  0.59062841   0.58885196
  0.58707094   0.58528535
  0.58349521   0.58170052
  0.57990129   0.57809751
  0.57628920   0.57447637
  0.57265901   0.57083715
  0.56901077   0.56717990
  0.56534453   0.56350467
  0.56166034   0.55981153
  0.55795826   0.55610054
  0.55423836   0.55237174
  0.55050068   0.54862520
  0.54674530   0.54486098
  0.54297227   0.54107915
  0.53918166   0.53727978
  0.53537354   0.53346293
  0.53154797   0.52962867
  0.52770503   0.52577707
  0.52384479   0.52190820
  0.51996732   0.51802215
  0.51607270   0.51411898
  0.51216100   0.51019877
  0.50823230   0.50626160
  0.50428668   0.50230756
  0.50032424   0.49833672
  0.49634503   0.49434918
  0.49234917   0.49034501
  0.48833672   0.48632430
  0.48430778   0.48228715
  0.48026244   0.47823365
  0.47620079   0.47416388
  0.47212293   0.47007794
  0.46802894   0.46597593
  0.46391893   0.46185795
  0.45979300   0.45772410
  0.45565124   0.45357446
  0.45149376   0.44940916
  0.44732066   0.44522829
  0.44313205   0.44103196
  0.43892803   0.43682027
  0.43470870   0.43259334
  0.43047419   0.42835127
  0.42622460   0.42409418
  0.42196004   0.41982218
  0.41768063   0.41553539
  0.41338648   0.41123392
  0.40907772   0.40691789
  0.40475445   0.40258742
  0.40041681   0.39824263
  0.39606491   0.39388365
  0.39169888   0.38951060
  0.38731884   0.38512361
  0.38292492   0.38072280
  0.37851725   0.37630830
  0.37409596   0.37188024
  0.36966117   0.36743876
  0.36521303   0.36298399
  0.36075166   0.35851605
  0.35627720   0.35403510
  0.35178979   0.34954127
  0.34728956   0.34503468
  0.34277666   0.34051550
  0.33825122   0.33598385
  0.33371340   0.33143988
  0.32916333   0.32688374
  0.32460115   0.32231557
  0.32002702   0.31773552
  0.31544108   0.31314373
  0.31084348   0.30854036
  0.30623438   0.30392556
  0.30161392   0.29929947
  0.29698225   0.29466226
  0.29233953   0.29001408
  0.28768592   0.28535508
  0.28302158   0.28068543
  0.27834665   0.27600527
  0.27366130   0.27131477
  0.26896569   0.26661409
  0.26425999   0.26190340
  0.25954434   0.25718285
  0.25481893   0.25245261
  0.25008390   0.24771284
  0.24533944   0.24296371
  0.24058569   0.23820540
  0.23582284   0.23343806
  0.23105106   0.22866186
  0.22627050   0.22387698
  0.22148134   0.21908359
  0.21668376   0.21428187
  0.21187793   0.20947197
  0.20706401   0.20465408
  0.20224220   0.19982838
  0.19741265   0.19499504
  0.19257555   0.19015423
  0.18773108   0.18530613
  0.18287941   0.18045093
  0.17802073   0.17558881
  0.17315520   0.17071993
  0.16828302   0.16584449
  0.16340437   0.16096267
  0.15851942   0.15607464
  0.15362836   0.15118060
  0.14873138   0.14628072
  0.14382865   0.14137519
  0.13892037   0.13646420
  0.13400671   0.13154793
  0.12908787   0.12662657
  0.12416403   0.12170030
  0.11923538   0.11676931
  0.11430211   0.11183380
  0.10936441   0.10689395
  0.10442246   0.10194995
  0.09947645   0.09700198
  0.09452658   0.09205025
  0.08957303   0.08709494
  0.08461600   0.08213624
  0.07965567   0.07717434
  0.07469225   0.07220943
  0.06972591   0.06724172
  0.06475686   0.06227138
  0.05978529   0.05729861
  0.05481138   0.05232362
  0.04983534   0.04734657
  0.04485735   0.04236769
  0.03987761   0.03738715
  0.03489632   0.03240515
  0.02991366   0.02742188
  0.02492983   0.02243755
  0.01994504   0.01745233
  0.01495946   0.01246644
  0.00997330   0.00748006
  0.00498675   0.00249339
  0.00000000 
